,2022,2023,2024
944,ALNY UW Equity,IBKR UW Equity,SON UN Equity
945,NSC UN Equity,AMG UN Equity,TPG UW Equity
946,PBCT UW Equity,LPX UN Equity,COLB UW Equity
947,9903115D UN Equity,SON UN Equity,AWI UN Equity
948,TFX UN Equity,AWI UN Equity,SYY UN Equity
949,NLSN UN Equity,SYY UN Equity,MLM UN Equity
950,PNR UN Equity,MLM UN Equity,IDA UN Equity
951,VSCO UN Equity,IDA UN Equity,WTRG UN Equity
952,MA UN Equity,WTRG UN Equity,PGR UN Equity
953,BF/B UN Equity,EXPD UW Equity,ELS UN Equity
954,SUI UN Equity,PGR UN Equity,KBR UN Equity
955,MDU UN Equity,ELS UN Equity,PYPL UW Equity
956,REG UW Equity,KBR UN Equity,ACGL UW Equity
957,AKAM UW Equity,PYPL UW Equity,FDS UN Equity
958,CERN UW Equity,ACGL UW Equity,SLGN UN Equity
959,TRGP UN Equity,FDS UN Equity,PRGO UN Equity
960,IBKR UW Equity,SLGN UN Equity,CGNX UW Equity
961,AMG UN Equity,PRGO UN Equity,CVX UN Equity
962,LPX UN Equity,CGNX UW Equity,AZEK UN Equity
963,SON UN Equity,CVX UN Equity,ALK UN Equity
964,AWI UN Equity,AZEK UN Equity,DIS UN Equity
965,SYY UN Equity,ALK UN Equity,DAL UN Equity
966,FIGS UN Equity,DIS UN Equity,HRL UN Equity
967,MLM UN Equity,DAL UN Equity,LLY UN Equity
968,IDA UN Equity,HRL UN Equity,NU UN Equity
969,WTRG UN Equity,LLY UN Equity,DECK UN Equity
970,EXPD UW Equity,PPL UN Equity,PPL UN Equity
971,PGR UN Equity,DECK UN Equity,RIVN UW Equity
972,ELS UN Equity,RIVN UW Equity,KMI UN Equity
973,PYPL UW Equity,TRMB UW Equity,TRMB UW Equity
974,ACGL UW Equity,KMI UN Equity,ADT UN Equity
975,FDS UN Equity,TTD UQ Equity,TTD UQ Equity
976,PRGO UN Equity,ADT UN Equity,GS UN Equity
977,CGNX UW Equity,VICI UN Equity,MANH UW Equity
978,CVX UN Equity,GS UN Equity,GME UN Equity
979,AZEK UN Equity,MANH UW Equity,ZBRA UW Equity
980,ALK UN Equity,GME UN Equity,MO UN Equity
981,DIS UN Equity,ZBRA UW Equity,BXP UN Equity
982,DAL UN Equity,MO UN Equity,CSX UW Equity
983,HRL UN Equity,BXP UN Equity,ISRG UW Equity
984,LLY UN Equity,CSX UW Equity,URI UN Equity
985,PPL UN Equity,ISRG UW Equity,RBA UN Equity
986,DECK UN Equity,URI UN Equity,STZ UN Equity
987,RIVN UW Equity,DASH UN Equity,WMB UN Equity
988,TRMB UW Equity,STZ UN Equity,XP UW Equity
989,KMI UN Equity,WMB UN Equity,AZO UN Equity
990,TTD UQ Equity,JAMF UW Equity,SF UN Equity
991,ADT UN Equity,AZO UN Equity,CPNG UN Equity
992,VICI UN Equity,SF UN Equity,SYF UN Equity
993,GS UN Equity,SYF UN Equity,FLO UN Equity
994,MANH UW Equity,FLO UN Equity,CMCSA UW Equity
995,HAIN UW Equity,CMCSA UW Equity,EXE UW Equity
996,GME UN Equity,EXE UW Equity,AXP UN Equity
997,CTXS UW Equity,AXP UN Equity,PLTR UN Equity
998,ZBRA UW Equity,PLTR UN Equity,BBY UN Equity
999,AVLR UN Equity,BBY UN Equity,EIX UN Equity
1000,BXP UN Equity,EIX UN Equity,LYV UN Equity
1001,CSX UW Equity,LYV UN Equity,KLAC UW Equity
1002,MO UN Equity,KLAC UW Equity,TKR UN Equity
1003,ISRG UW Equity,TKR UN Equity,ORCL UN Equity
1004,URI UN Equity,ORCL UN Equity,OMC UN Equity
1005,DASH UN Equity,OMC UN Equity,WOOF UW Equity
1006,STZ UN Equity,WOOF UW Equity,UAL UW Equity
1007,WMB UN Equity,UAL UW Equity,9210611D UW Equity
1008,JAMF UW Equity,9210611D UW Equity,DHR UN Equity
1009,AZO UN Equity,DHR UN Equity,
1010,SF UN Equity,,
1011,SYF UN Equity,,
1012,DISCA UW Equity,,
1013,FLO UN Equity,,
1014,CMCSA UW Equity,,
1015,SWI UN Equity,,
1016,AXP UN Equity,,
1017,PLTR UN Equity,,
1018,BBY UN Equity,,
1019,EIX UN Equity,,
1020,LYV UN Equity,,
1021,KLAC UW Equity,,
1022,TKR UN Equity,,
1023,ORCL UN Equity,,
1024,DISCK UW Equity,,
1025,OMC UN Equity,,
1026,WOOF UW Equity,,
1027,UAL UW Equity,,
1028,9210611D UW Equity,,
1029,DHR UN Equity,,
