,2022,2023,2024
142,EVR UN Equity,EHC UN Equity,VYX UN Equity
143,RNG UN Equity,FNB UN Equity,EHC UN Equity
144,VYX UN Equity,PFG UW Equity,FNB UN Equity
145,EHC UN Equity,BG UN Equity,MUSA UN Equity
146,FNB UN Equity,IAA UN Equity,BG UN Equity
147,PFG UW Equity,ARE UN Equity,PFG UW Equity
148,BG UN Equity,RBLX UN Equity,ARE UN Equity
149,ATH US Equity,FHB UW Equity,RBLX UN Equity
150,IAA UN Equity,OTIS UN Equity,FHB UW Equity
151,ARE UN Equity,RKT UN Equity,OTIS UN Equity
152,FHB UW Equity,TSCO UW Equity,RKT UN Equity
153,OTIS UN Equity,SSNC UW Equity,SSNC UW Equity
154,RKT UN Equity,AYX UN Equity,AYX UN Equity
155,SSNC UW Equity,GOOGL UW Equity,GOOGL UW Equity
156,AYX UN Equity,2297268D UW Equity,OHI UN Equity
157,2061517D UW Equity,AMC UN Equity,AMC UN Equity
158,2297268D UW Equity,ALSN UN Equity,ALSN UN Equity
159,GOOGL UW Equity,OHI UN Equity,UI UN Equity
160,ALSN UN Equity,UI UN Equity,MGM UN Equity
161,OHI UN Equity,MGM UN Equity,FCNCA UW Equity
162,UI UN Equity,FCNCA UW Equity,IONS UW Equity
163,MGM UN Equity,IONS UW Equity,KNX UN Equity
164,FCNCA UW Equity,KNX UN Equity,ZION UW Equity
165,SPCE UN Equity,ZION UW Equity,OLED UW Equity
166,IONS UW Equity,OLED UW Equity,VSTS UN Equity
167,KNX UN Equity,TT UN Equity,TT UN Equity
168,ZION UW Equity,FOXA UW Equity,FOXA UW Equity
169,LZ UW Equity,TROW UW Equity,TROW UW Equity
170,OLED UW Equity,CDNS UW Equity,CDNS UW Equity
171,TT UN Equity,CVNA UN Equity,CMS UN Equity
172,FOXA UW Equity,CMS UN Equity,CPB UN Equity
173,TROW UW Equity,CPB UN Equity,RJF UN Equity
174,CDNS UW Equity,RJF UN Equity,CACC UW Equity
175,CVNA UN Equity,CACC UW Equity,MTD UN Equity
176,CMS UN Equity,MTD UN Equity,OLPX UW Equity
177,CPB UN Equity,OLPX UW Equity,CNA UN Equity
178,RJF UN Equity,CNA UN Equity,OXY UN Equity
179,CACC UW Equity,OXY UN Equity,RS UN Equity
180,MTD UN Equity,RS UN Equity,FOUR UN Equity
181,OLPX UW Equity,FOUR UN Equity,WH UN Equity
182,CNA UN Equity,WH UN Equity,LEG UN Equity
183,OXY UN Equity,LEG UN Equity,TYL UN Equity
184,RS UN Equity,TYL UN Equity,WSO UN Equity
185,FOUR UN Equity,WSO UN Equity,ACI UN Equity
186,WH UN Equity,ACI UN Equity,AGCO UN Equity
187,LEG UN Equity,AGCO UN Equity,FFIV UW Equity
188,TYL UN Equity,FFIV UW Equity,SMG UN Equity
189,WSO UN Equity,SMG UN Equity,NTAP UW Equity
190,ACI UN Equity,NTAP UW Equity,MRO UN Equity
191,AGCO UN Equity,MRO UN Equity,ORLY UW Equity
192,FFIV UW Equity,ORLY UW Equity,COHR UN Equity
193,SMG UN Equity,FANG UW Equity,FANG UW Equity
194,NTAP UW Equity,LIN UN Equity,REGN UW Equity
195,MRO UN Equity,REGN UW Equity,CSGP UW Equity
196,ORLY UW Equity,CSGP UW Equity,NBIX UW Equity
197,FANG UW Equity,NBIX UW Equity,RLI UN Equity
198,REGN UW Equity,AXON UW Equity,AXON UW Equity
199,CSGP UW Equity,JWN UN Equity,JWN UN Equity
200,STNE UW Equity,FBIN UN Equity,FBIN UN Equity
201,NBIX UW Equity,ALLE UN Equity,ALLE UN Equity
202,AXON UW Equity,EXC UW Equity,EXC UW Equity
203,JWN UN Equity,JBHT UW Equity,JBHT UW Equity
204,FBIN UN Equity,AVB UN Equity,AVB UN Equity
205,ALLE UN Equity,LNT UW Equity,LNT UW Equity
206,EXC UW Equity,IQV UN Equity,IQV UN Equity
207,JBHT UW Equity,SNA UN Equity,SNA UN Equity
208,AVB UN Equity,CPT UN Equity,CPT UN Equity
209,LNT UW Equity,YUM UN Equity,YUM UN Equity
210,IQV UN Equity,BKNG UW Equity,BKNG UW Equity
211,SNA UN Equity,XEL UW Equity,XEL UW Equity
212,CPT UN Equity,ADP UW Equity,ADP UW Equity
213,YUM UN Equity,ODFL UW Equity,VICI UN Equity
214,BKNG UW Equity,MCK UN Equity,ODFL UW Equity
215,XEL UW Equity,RYN UN Equity,MCK UN Equity
216,ADP UW Equity,CFLT UW Equity,RYN UN Equity
217,ODFL UW Equity,BDX UN Equity,CFLT UW Equity
218,MCK UN Equity,CNP UN Equity,BDX UN Equity
219,RYN UN Equity,JBLU UW Equity,CNP UN Equity
220,BDX UN Equity,KRC UN Equity,STAG UN Equity
221,CNP UN Equity,LFUS UW Equity,KRC UN Equity
222,JBLU UW Equity,COTY UN Equity,LFUS UW Equity
223,KRC UN Equity,JAZZ UW Equity,COTY UN Equity
224,LFUS UW Equity,EBAY UW Equity,JAZZ UW Equity
225,COTY UN Equity,ASH UN Equity,EBAY UW Equity
226,JAZZ UW Equity,MNST UW Equity,ASH UN Equity
227,EBAY UW Equity,DKNG UW Equity,MNST UW Equity
228,ASH UN Equity,KD UN Equity,DKNG UW Equity
229,IOVA UQ Equity,BOH UN Equity,KD UN Equity
230,MNST UW Equity,ALGN UW Equity,ALGN UW Equity
231,KD UN Equity,ATVI UW Equity,PNC UN Equity
232,EVBG UQ Equity,PNC UN Equity,ILMN UW Equity
233,BOH UN Equity,ILMN UW Equity,CCI UN Equity
234,ALGN UW Equity,CCI UN Equity,CHDN UW Equity
235,ATVI UW Equity,CHDN UW Equity,DXCM UW Equity
236,PNC UN Equity,DXCM UW Equity,BEPC UN Equity
237,ILMN UW Equity,BEPC UN Equity,DAR UN Equity
238,CCI UN Equity,DAR UN Equity,HII UN Equity
239,NABL UN Equity,HII UN Equity,WY UN Equity
240,CHDN UW Equity,WY UN Equity,BR UN Equity
241,DXCM UW Equity,BR UN Equity,NOC UN Equity
242,BEPC UN Equity,NOC UN Equity,TXRH UW Equity
243,DAR UN Equity,CRUS UW Equity,CRUS UW Equity
244,MSP UN Equity,AVTR UN Equity,AVTR UN Equity
245,HII UN Equity,WELL UN Equity,WELL UN Equity
246,WY UN Equity,BMY UN Equity,BMY UN Equity
247,BR UN Equity,EXP UN Equity,EXP UN Equity
248,NOC UN Equity,BKR UW Equity,BKR UW Equity
249,CRUS UW Equity,BRK/B UN Equity,BRK/B UN Equity
250,AVTR UN Equity,RSG UN Equity,RSG UN Equity
251,WELL UN Equity,NXST UW Equity,NXST UW Equity
252,BMY UN Equity,D UN Equity,EMN UN Equity
253,QVCGA UW Equity,EMN UN Equity,D UN Equity
254,EXP UN Equity,SHC UW Equity,SHC UW Equity
255,BKR UW Equity,EEFT UW Equity,EEFT UW Equity
256,BRK/B UN Equity,DLTR UW Equity,DLTR UW Equity
257,RSG UN Equity,AYI UN Equity,AYI UN Equity
258,NXST UW Equity,2297264D UW Equity,CZR UW Equity
259,D UN Equity,AAP UN Equity,AAP UN Equity
260,EMN UN Equity,CZR UW Equity,LAZ UN Equity
261,SHC UW Equity,LAZ UN Equity,PCG UN Equity
262,AYI UN Equity,PCG UN Equity,IPG UN Equity
263,DLTR UW Equity,IPG UN Equity,FLS UN Equity
264,EEFT UW Equity,FLS UN Equity,HON UW Equity
265,2297264D UW Equity,HON UW Equity,KNSL UN Equity
266,AAP UN Equity,MCW UN Equity,CL UN Equity
267,CZR UW Equity,CL UN Equity,MCW UN Equity
268,LAZ UN Equity,SYK UN Equity,SYK UN Equity
269,PCG UN Equity,SNOW UN Equity,SNOW UN Equity
270,IPG UN Equity,FG UN Equity,LDOS UN Equity
271,FLS UN Equity,LDOS UN Equity,PRI UN Equity
272,HON UW Equity,PRI UN Equity,FIVN UQ Equity
273,MCW UN Equity,FIVN UQ Equity,DG UN Equity
274,CL UN Equity,DG UN Equity,SPR UN Equity
275,SYK UN Equity,SPR UN Equity,HAYW UN Equity
276,SNOW UN Equity,HAYW UN Equity,BILL UN Equity
277,LDOS UN Equity,BILL UN Equity,KVUE UN Equity
278,PRI UN Equity,JBGS UN Equity,MTCH UW Equity
279,FIVN UQ Equity,MTCH UW Equity,GIS UN Equity
280,DG UN Equity,GIS UN Equity,ROST UW Equity
281,SWCH UN Equity,ROST UW Equity,PARA UW Equity
282,SPR UN Equity,PARA UW Equity,DASH UW Equity
283,HAYW UN Equity,RL UN Equity,RL UN Equity
284,BILL UN Equity,WEWKQ UN Equity,APO UN Equity
285,JBGS UN Equity,APO UN Equity,EWBC UW Equity
286,MTCH UW Equity,EWBC UW Equity,PSA UN Equity
287,GIS UN Equity,PSA UN Equity,DOW UN Equity
288,ROST UW Equity,DOW UN Equity,META UW Equity
289,PARA UW Equity,META UW Equity,OC UN Equity
290,NKTR UW Equity,OC UN Equity,TFSL UW Equity
291,RL UN Equity,TFSL UW Equity,UGI UN Equity
292,EWBC UW Equity,UGI UN Equity,DOCS UN Equity
293,PSA UN Equity,DOCS UN Equity,TRIP UW Equity
294,DOW UN Equity,TRIP UW Equity,PM UN Equity
295,META UW Equity,PM UN Equity,ETSY UW Equity
296,OC UN Equity,2505298D UW Equity,VRT UN Equity
297,TFSL UW Equity,ETSY UW Equity,TNDM UQ Equity
298,UGI UN Equity,TWKS UW Equity,IART UW Equity
299,TRIP UW Equity,VRT UN Equity,UA UN Equity
300,PM UN Equity,TNDM UQ Equity,LRCX UW Equity
301,2505298D UW Equity,IART UW Equity,HE UN Equity
302,ETSY UW Equity,UA UN Equity,THG UN Equity
303,TWKS UW Equity,LRCX UW Equity,ALGM UW Equity
304,VRT UN Equity,HE UN Equity,TDC UN Equity
305,9990822D US Equity,THG UN Equity,GNTX UW Equity
